vehicle_id,make,model,year,engine_type,fuel_type,vehicle_class
TRUCK-001,Scania,R450,2023,DC13,Diesel,Heavy
TRUCK-002,Volvo,FH16,2022,D16G,Diesel,Heavy
TRUCK-003,Mercedes,Actros,2024,OM471,Diesel,Heavy
TRUCK-004,MAN,TGX,2023,D26,Diesel,Heavy
TRUCK-005,Scania,S500,2022,DC16,Diesel,Heavy
TRUCK-006,Volvo,FM,2021,D13,Diesel,Medium
TRUCK-007,Mercedes,Antos,2023,OM470,Diesel,Medium
TRUCK-008,MAN,TGM,2022,D15,Diesel,Medium
TRUCK-009,Scania,P320,2024,DC09,Diesel,Light
TRUCK-010,Volvo,FL,2023,D8,Diesel,Light
TRUCK-011,Mercedes,Arocs,2023,OM473,Diesel,Heavy
TRUCK-012,Scania,G410,2022,DC13,Diesel,Medium
TRUCK-013,Volvo,FMX,2024,D13,Diesel,Heavy
TRUCK-014,MAN,TGS,2021,D38,Diesel,Heavy
TRUCK-015,Scania,R650,2023,V8,Diesel,Heavy
TRUCK-016,Mercedes,Atego,2022,OM936,Diesel,Medium
TRUCK-017,Volvo,FE,2024,D8,Diesel,Medium
TRUCK-018,MAN,TGL,2023,D08,Diesel,Light
TRUCK-019,Scania,L320,2022,DC09,Diesel,Light
TRUCK-020,Mercedes,Econic,2024,OM936,Diesel,Medium
TRUCK-021,Volvo,VNL,2023,D13,Diesel,Heavy
TRUCK-022,Scania,R580,2022,DC16,Diesel,Heavy
TRUCK-023,MAN,TGX,2024,D26,Diesel,Heavy
TRUCK-024,Mercedes,Actros,2021,OM471,Diesel,Heavy
TRUCK-025,Volvo,FH,2023,D16G,Diesel,Heavy
TRUCK-026,Scania,P410,2022,DC13,Diesel,Medium
TRUCK-027,Mercedes,Antos,2024,OM470,Diesel,Medium
TRUCK-028,MAN,TGM,2023,D15,Diesel,Medium
TRUCK-029,Volvo,FL,2022,D8,Diesel,Light
TRUCK-030,Scania,G450,2024,DC13,Diesel,Heavy